id,Sample 1 ,Sample 2 ,Sample 3 ,Sample 4 ,Sample 5 ,Sample 6 ,Sample 7 ,Sample 8 ,Sample 10 ,Sample 11 ,Sample 12 ,Sample 13 ,Sample 14 ,Sample 15 ,Sample 16 ,Sample 17 ,Sample 18 ,Sample 19 ,Compound name
8050,232.49872,129.91394,561.53217,296.32083,77.97537,492.44263,831.06744,716.12976,287.68304,1048.7461,1328.3864,1016.05963,1449.0017,3604.0146,687.5515,912.57404,77636.09,1162.4022,Desethylterbutylazine
10094,33.475067,67.989456,167.05444,165.43976,86.73613,831.4565,10200.465,1222.707,752.8408,133.01562,166.91075,18.718605,712.1873,838.95703,885.7523,210.66486,155.28764,22.02081,Diazepam
8647,372.2604,806.1144,780.74176,62.37494,0,552.972,227.58359,665.8752,179.15793,161.24704,49.0662,0,297.27005,238.0229,287.25113,1078.7668,250.19092,70.41966,Diazinon
8212,0,0,0,748.095,0,2279.4001,404.48993,223.46219,0,276.61182,1115.116,668.70764,2439.7288,6071.168,2867.7947,1050.4076,86508.164,993.1294,Dichlorvos
34739,7993.916,14906.308,123503.625,134470.12,106.67656,461977.97,146023.9,182174.73,116893.305,6216.597,201332.73,41359.312,290090.84,261381.03,158950.12,223862.33,281054.12,2314.0476,Diethofencarb
15376,0,0,0,0,911.8629,0,86640.79,3295.1558,2416.6174,0,0,271.89798,54.571037,0,18.529768,1350.4204,0,396.95703,Dimethoate
23448,819.12256,1243.6631,2006.6692,209642.7,12333.32,1291575.1,498524,233886.45,3370.3826,7383.646,87209.77,171642.89,3619.9863,2542.9443,97792.05,26429.27,73966.1,148261.14,Dimethomorph isomer 1
34749,159009.39,237541.31,794504.8,854112.4,16100.73,1620716.8,958335.5,1043421.4,825583.1,154346.02,1054391.4,435740.44,1276580,1166532.4,875154.6,1126853.2,1237769.6,89676.97,Dimethomorph isomer 1
9997,391.1673,202.0743,345.69028,117.61482,428.60452,1615.1633,3304.0986,5816.182,937.3047,240.48898,1873.6127,1539.4558,19226.375,19595.875,4583.17,1749.7075,5954.285,848.9543,Dioxacarb
11345,4075.485,869.37805,621.9048,1715.8114,647.4839,2529.2012,3749.0425,2997.7422,672.2969,1474.2173,3766.4888,3073.6245,27687.512,56710.516,1848.6104,1940.2153,8425.69,1606.2511,Diuron
14646,297.87503,539.86,588.917,1450.1433,395.7533,8966.615,2659.3867,89520.71,695.4399,520.642,1203.3494,1250.047,1742.8674,1040.9232,1407.0095,1034.0154,1346.2913,1521.8927,Ecgonine methyl ester
22925,2094.2058,8287.16,65466.09,147141,596.09827,120522.055,69788.01,7530.5747,14631.075,8632.505,41029.844,6181.536,7742.354,16604.56,26782.904,7624.218,3064.4395,7794.1826,Ethoprop
13104,39.554714,22.224545,86.314026,28.22182,43.977333,413.99805,155.90579,88.55701,0,38.89106,5830.404,40.180138,98.80422,231.02129,459.49402,54.151497,57.06067,51.67384,Etoxazole
14135,0,0,0,0,0,217.08078,98.77695,47.74151,21.86718,18.114601,28287.232,125.414734,37.583878,0,56.087868,21.164543,81.99425,137.20865,Etoxazole
